group_id,member_idx,original_idx,start,end,delta_start_q,delta_a_q,delta_b_q,delta_c_q,is_y_reflected,is_x_reflected,is_padding
G8160_0,0,7,0.350097656250000,0.399902343750000,-32767,0,-32767,32767,0,0,0
G8160_0,1,10,0.500000000000000,0.549804687500000,-10993,0,-16463,21841,0,0,0
G8160_0,2,12,0.600097656250000,0.649902343750000,-53,0,-5435,12537,0,0,0
G8160_0,3,14,0.700195312500000,0.750000000000000,10887,0,5435,1604,0,0,0
G8160_0,4,15,0.750000000000000,0.799804687500000,10887,0,10869,-4441,0,0,0
G8160_0,5,17,0.850097656250000,0.899902343750000,21827,0,21738,-17774,0,0,0
G8160_0,6,19,0.950195312500000,1.000000000000000,32767,0,32767,-32767,0,0,0
G8200_1,0,2,0.099975585937500,0.150024414062500,-32767,0,-32767,32767,0,0,0
G8200_1,1,4,0.199951171875000,0.250000000000000,40,0,-13847,21851,0,0,0
G8200_1,2,5,0.250000000000000,0.300048828125000,40,0,-4524,14053,0,0,0
G8200_1,3,6,0.300048828125000,0.350097656250000,40,0,4799,4683,0,0,0
G8200_1,4,8,0.399902343750000,0.449951171875000,32767,0,23444,-18713,0,0,0
G8200_1,5,9,0.449951171875000,0.500000000000000,32767,0,32767,-32767,0,0,0
G8240_2,0,11,0.549804687500000,0.600097656250000,-32767,0,-32767,32767,0,0,0
G8240_2,1,13,0.649902343750000,0.700195312500000,-16384,0,-14043,17172,0,0,0
G8240_2,2,16,0.799804687500000,0.850097656250000,16384,0,14043,-10953,0,0,0
G8240_2,3,18,0.899902343750000,0.950195312500000,32767,0,32767,-32767,0,0,0
ORPHAN,0,0,0.000000000000000,0.049987792968750,0,0,0,0,0,0,0
ORPHAN,1,1,0.049987792968750,0.099975585937500,0,0,0,0,0,0,0
ORPHAN,2,3,0.150024414062500,0.199951171875000,0,0,0,0,0,0,0
