group_id,member_idx,original_idx,start,end,delta_start_q,delta_a_q,delta_b_q,delta_c_q,is_y_reflected,is_x_reflected,is_padding
G33333_0,0,0,0.000000000000000,0.033333335071802,-32767,0,-32767,32767,0,0,0
G33333_0,1,1,0.033333335071802,0.066666670143604,-16384,0,-21759,29612,0,0,0
G33333_0,2,2,0.066666670143604,0.100000001490116,0,0,-10769,23311,0,0,0
G33333_0,3,3,0.100000001490116,0.133333340287209,-21845,0,191,13887,0,0,0
G33333_0,4,4,0.133333340287209,0.166666671633720,32767,0,11108,1370,0,0,0
G33333_0,5,5,0.166666671633720,0.200000002980232,10922,0,21971,-14199,0,0,0
G33333_0,6,6,0.200000002980232,0.233333334326744,-10922,0,32767,-32767,0,0,0
G49999_1,0,7,0.233333334326744,0.283333331346512,-32767,0,-32767,32767,0,0,0
G49999_1,1,9,0.333333343267441,0.383333325386047,-23405,0,-19553,24939,0,0,0
G49999_1,2,11,0.433333337306976,0.483333319425583,-14043,0,-6804,14936,0,0,0
G49999_1,3,13,0.533333361148834,0.583333313465118,-4681,0,5374,3042,0,0,0
G49999_1,4,18,0.783333361148834,0.833333313465118,32767,0,32767,-32767,0,0,0
G50000_2,0,8,0.283333331346512,0.333333343267441,-32767,0,-32767,32767,0,0,0
G50000_2,1,10,0.383333325386047,0.433333337306976,-16383,0,-21090,25928,0,0,0
G50000_2,2,12,0.483333319425583,0.533333361148834,0,0,-9879,17530,0,0,0
G50000_2,3,14,0.583333313465118,0.633333325386047,16384,0,776,7807,0,0,0
G50000_2,4,15,0.633333325386047,0.683333337306976,16384,0,5871,2529,0,0,0
G50000_2,5,16,0.683333337306976,0.733333349227905,16384,0,10801,-2980,0,0,0
G50000_2,6,17,0.733333349227905,0.783333361148834,16384,0,15558,-8686,0,0,0
G50000_2,7,19,0.833333313465118,0.883333325386047,32767,0,24535,-20546,0,0,0
G50000_2,8,20,0.883333325386047,0.933333337306976,32767,0,28746,-26629,0,0,0
G50000_2,9,21,0.933333337306976,0.983333349227905,32767,0,32767,-32767,0,0,0
ORPHAN,0,22,0.983333349227905,1.000000000000000,0,0,0,0,0,0,0
