Input,Output,Hessian
-5,-0.999909,0.000363043
-4.89899,-0.999889,0.000444089
-4.79798,-0.999864,0.000544009
-4.69697,-0.999834,0.000665024
-4.59596,-0.999796,0.000816014
-4.49495,-0.999751,0.00099809
-4.39394,-0.999695,0.00122125
-4.29293,-0.999627,0.00149214
-4.19192,-0.999543,0.00182632
-4.09091,-0.999441,0.00223599
-3.9899,-0.999316,0.00273559
-3.88889,-0.999162,0.00334732
-3.78788,-0.998975,0.0040945
-3.68687,-0.998746,0.00500822
-3.58586,-0.998465,0.00612621
-3.48485,-0.998122,0.00749178
-3.38384,-0.997702,0.00916045
-3.28283,-0.997188,0.0111999
-3.18182,-0.99656,0.013689
-3.08081,-0.995791,0.01673
-2.9798,-0.994851,0.0204348
-2.87879,-0.993702,0.0249523
-2.77778,-0.992298,0.0304534
-2.67677,-0.990582,0.0371425
-2.57576,-0.988485,0.045266
-2.47475,-0.985926,0.0551137
-2.37374,-0.982802,0.0670264
-2.27273,-0.978992,0.0814027
-2.17172,-0.97435,0.0986888
-2.07071,-0.968697,0.119394
-1.9697,-0.961823,0.144075
-1.86869,-0.953475,0.173314
-1.76768,-0.943354,0.207693
-1.66667,-0.93111,0.24774
-1.56566,-0.916332,0.293841
-1.46465,-0.898551,0.346132
-1.36364,-0.877234,0.404337
-1.26263,-0.851787,0.467563
-1.16162,-0.821566,0.534065
-1.06061,-0.785896,0.601001
-0.959596,-0.744097,0.664209
-0.858586,-0.695528,0.718121
-0.757576,-0.639647,0.755874
-0.656566,-0.576073,0.769794
-0.555556,-0.504672,0.752272
-0.454545,-0.425628,0.697044
-0.353535,-0.339507,0.600748
-0.252525,-0.247291,0.464336
-0.151515,-0.150366,0.293932
-0.0505051,-0.0504622,0.100667
0.0505051,0.0504622,-0.100667
0.151515,0.150366,-0.293932
0.252525,0.247291,-0.464336
0.353535,0.339507,-0.600748
0.454545,0.425628,-0.697044
0.555556,0.504672,-0.752272
0.656566,0.576073,-0.769794
0.757576,0.639647,-0.755874
0.858586,0.695528,-0.718117
0.959596,0.744097,-0.664209
1.06061,0.785896,-0.601001
1.16162,0.821566,-0.534065
1.26263,0.851787,-0.467562
1.36364,0.877234,-0.404337
1.46465,0.898551,-0.346132
1.56566,0.916332,-0.293841
1.66667,0.93111,-0.24774
1.76768,0.943354,-0.207694
1.86869,0.953475,-0.173315
1.9697,0.961823,-0.144075
2.07071,0.968697,-0.119394
2.17172,0.97435,-0.0986866
2.27273,0.978992,-0.0814027
2.37374,0.982802,-0.0670264
2.47475,0.985926,-0.0551137
2.57576,0.988485,-0.045266
2.67677,0.990582,-0.0371425
2.77778,0.992298,-0.0304534
2.87879,0.993702,-0.0249523
2.9798,0.994851,-0.0204348
3.08081,0.995791,-0.01673
3.18182,0.99656,-0.013689
3.28283,0.997188,-0.0111999
3.38384,0.997702,-0.00916045
3.48485,0.998122,-0.00749178
3.58586,0.998465,-0.00612621
3.68687,0.998746,-0.00500822
3.78788,0.998975,-0.0040945
3.88889,0.999162,-0.00334732
3.9899,0.999316,-0.00273559
4.09091,0.999441,-0.00223599
4.19192,0.999543,-0.00182632
4.29293,0.999627,-0.00149214
4.39394,0.999695,-0.00122125
4.49495,0.999751,-0.00099809
4.59596,0.999796,-0.000816014
4.69697,0.999834,-0.000665024
4.79798,0.999864,-0.000544009
4.89899,0.999889,-0.000444089
5,0.999909,-0.000363043
