GroupID,Length,BaseStart,BaseEnd,FitMethod,FitA,FitB,FitC,BitWidth,ScaleFactor,DeltaEncodings
0,0.00390625,0.000000e+00,3.906250e-03,L,0.000000e+00,-1.953123e-03,1.000000e+00,2,8.593750e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
1,4.394531e-03,8.984375e-02,9.423828e-02,L,0.000000e+00,-9.191104e-02,1.004224e+00,2,9.667969e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
2,4.882812e-03,1.909180e-01,1.958008e-01,L,0.000000e+00,-1.921566e-01,1.018517e+00,2,8.789062e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
3,5.371094e-03,2.836914e-01,2.890625e-01,L,0.000000e+00,-2.824783e-01,1.040165e+00,2,7.519531e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
4,5.859375e-03,3.642578e-01,3.701172e-01,L,0.000000e+00,-3.589913e-01,1.065154e+00,2,7.031250e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
5,6.347656e-03,4.404297e-01,4.467773e-01,L,0.000000e+00,-4.291963e-01,1.093599e+00,2,5.712891e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
6,6.835938e-03,5.039062e-01,5.107422e-01,L,0.000000e+00,-4.858393e-01,1.120521e+00,2,5.468750e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
7,7.324219e-03,5.654297e-01,5.727539e-01,L,0.000000e+00,-5.388660e-01,1.149049e+00,2,4.394531e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
8,7.812500e-03,6.166992e-01,6.245117e-01,L,0.000000e+00,-5.815264e-01,1.174419e+00,2,3.906250e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
9,8.300781e-03,6.635742e-01,6.718750e-01,L,0.000000e+00,-6.191991e-01,1.198680e+00,2,3.320312e-02,"0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
