ParamsID,Order,a,b,c,IntervalIndices,Offsets
0,1,0,-0.00195312,1,"0","0"
1,1,0,-0.00585934,1.00002,"1","0"
2,1,0,-0.00976546,1.00005,"2","0"
3,1,0,-0.0136714,1.00009,"3","0"
4,1,0,-0.0175772,1.00015,"4","0"
5,1,0,-0.0214827,1.00023,"5","0"
6,1,0,-0.0253879,1.00032,"6","0"
7,1,0,-0.0292927,1.00043,"7","0"
8,1,0,-0.033197,1.00055,"8","0"
9,1,0,-0.0371008,1.00069,"9","0"
10,1,0,-0.0410041,1.00084,"10","0"
11,1,0,-0.0449067,1.00101,"11","0"
12,1,0,-0.0488087,1.00119,"12","0"
13,1,0,-0.0527099,1.00139,"13","0"
14,1,0,-0.0566103,1.0016,"14","0"
15,1,0,-0.0605098,1.00183,"15","0"
16,1,0,-0.0644085,1.00207,"16","0"
17,1,0,-0.0683061,1.00233,"17","0"
18,1,0,-0.0722027,1.00261,"18","0"
19,1,0,-0.0760982,1.00289,"19","0"
20,1,0,-0.0799925,1.0032,"20","0"
21,1,0,-0.0838856,1.00352,"21","0"
22,1,0,-0.0877775,1.00385,"22","0"
23,1,0,-0.091911,1.00422,"23","0"
24,1,0,-0.0962861,1.00464,"24","0"
25,1,0,-0.100659,1.00507,"25","0"
26,1,0,-0.10503,1.00552,"26","0"
27,1,0,-0.1094,1.00599,"27","0"
28,1,0,-0.113767,1.00648,"28","0"
29,1,0,-0.118132,1.00698,"29","0"
30,1,0,-0.122494,1.00751,"30","0"
31,1,0,-0.126854,1.00805,"31","0"
32,1,0,-0.131212,1.00862,"32","0"
33,1,0,-0.135567,1.0092,"33","0"
34,1,0,-0.13992,1.0098,"34","0"
35,1,0,-0.14427,1.01042,"35","0"
36,1,0,-0.148617,1.01106,"36","0"
37,1,0,-0.152961,1.01172,"37","0"
38,1,0,-0.157303,1.0124,"38","0"
39,1,0,-0.161641,1.01309,"39","0"
40,1,0,-0.165976,1.0138,"40","0"
41,1,0,-0.170308,1.01454,"41","0"
42,1,0,-0.174637,1.01529,"42","0"
43,1,0,-0.178962,1.01605,"43","0"
44,1,0,-0.183284,1.01684,"44","0"
45,1,0,-0.187602,1.01765,"45","0"
46,1,0,-0.192157,1.01852,"46","0"
47,1,0,-0.196946,1.01945,"47","0"
48,1,0,-0.201731,1.02041,"48","0"
49,1,0,-0.206511,1.0214,"49","0"
50,1,0,-0.211286,1.0224,"50","0"
51,1,0,-0.216056,1.02343,"51","0"
52,1,0,-0.220821,1.02448,"52","0"
53,1,0,-0.22558,1.02555,"53","0"
54,1,0,-0.230335,1.02664,"54","0"
55,1,0,-0.235083,1.02776,"55","0"
56,1,0,-0.239827,1.0289,"56","0"
57,1,0,-0.244564,1.03005,"57","0"
58,1,0,-0.249296,1.03124,"58","0"
59,1,0,-0.254021,1.03244,"59","0"
60,1,0,-0.258741,1.03366,"60","0"
61,1,0,-0.263454,1.03491,"61","0"
62,1,0,-0.268161,1.03617,"62","0"
63,1,0,-0.272862,1.03746,"63","0"
64,1,0,-0.277556,1.03877,"64","0"
65,1,0,-0.282478,1.04017,"65","0"
66,1,0,-0.287626,1.04165,"66","0"
67,1,0,-0.292766,1.04317,"67","0"
68,1,0,-0.297898,1.04471,"68","0"
69,1,0,-0.303021,1.04627,"69","0"
