GroupID,Length,BaseStart,BaseEnd,FitOrder,FitA,FitB,FitC,BitWidthStart,BitWidthIntercept,DeltaEncodings
0,1.810000e-02,8.480703e-01,8.661456e-01,0,0.000000e+00,2.345720e+00,3.458006e-01,10,11,"0.000000e+00:0:0.000000e+00;1.807523e-02:0:-3.686553e-02;3.615046e-02:0:-7.519093e-02;5.422570e-02:0:-1.150172e-01;7.230093e-02:0:-1.563863e-01"
1,2.000000e-02,6.736688e-01,6.936981e-01,0,0.000000e+00,1.971275e+00,6.334341e-01,8,9,"0.000000e+00:0:0.000000e+00;2.002931e-02:0:-2.746691e-02;4.005862e-02:0:-5.630446e-02"
2,1.910000e-02,7.337567e-01,7.528090e-01,0,0.000000e+00,2.092843e+00,5.472529e-01,10,11,"0.000000e+00:0:0.000000e+00;1.905227e-02:0:-3.011401e-02;3.810454e-02:0:-6.158898e-02;5.715681e-02:0:-9.446612e-02;7.620909e-02:0:-1.287877e-01;9.526136e-02:0:-1.645972e-01"
3,2.540000e-02,1.905227e-01,2.159257e-01,0,0.000000e+00,1.217598e+00,9.779017e-01,8,8,"0.000000e+00:0:0.000000e+00;2.540303e-02:0:-6.566597e-03;5.080606e-02:0:-1.411842e-02"
4,2.100000e-02,5.686370e-01,5.896434e-01,0,0.000000e+00,1.775165e+00,7.564342e-01,10,10,"0.000000e+00:0:0.000000e+00;2.100635e-02:0:-2.202335e-02;4.201270e-02:0:-4.532263e-02;6.301905e-02:0:-6.994209e-02;8.402540e-02:0:-9.592729e-02"
5,2.440000e-02,2.667318e-01,2.911578e-01,0,0.000000e+00,1.313696e+00,9.552857e-01,8,8,"0.000000e+00:0:0.000000e+00;2.442599e-02:0:-9.260655e-03;4.885198e-02:0:-1.956335e-02"
6,2.200000e-02,4.807035e-01,5.026869e-01,0,0.000000e+00,1.626132e+00,8.355242e-01,9,9,"0.000000e+00:0:0.000000e+00;2.198339e-02:0:-1.797143e-02;4.396678e-02:0:-3.715452e-02;6.595017e-02:0:-5.759427e-02"
7,2.300000e-02,4.118222e-01,4.347826e-01,0,0.000000e+00,1.518264e+00,8.843111e-01,8,8,"0.000000e+00:0:0.000000e+00;2.296043e-02:0:-1.513061e-02;4.592086e-02:0:-3.144111e-02"
8,2.640000e-02,1.113825e-01,1.377626e-01,0,0.000000e+00,1.125227e+00,9.924918e-01,9,8,"0.000000e+00:0:0.000000e+00;2.638007e-02:0:-3.946639e-03;5.276014e-02:0:-8.813461e-03"
9,2.390000e-02,3.400098e-01,3.639472e-01,0,0.000000e+00,1.413403e+00,9.243906e-01,8,8,"0.000000e+00:0:0.000000e+00;2.393747e-02:0:-1.225840e-02;4.787494e-02:0:-2.565329e-02"
10,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,8,8,"0.000000e+00:0:1.000000e+00;0.000000e+00:0:9.993835e-01;0.000000e+00:0:9.979203e-01;0.000000e+00:0:9.956378e-01;0.000000e+00:0:1.470487e-01;0.000000e+00:0:1.049372e-01;0.000000e+00:0:5.626720e-02;0.000000e+00:0:3.979914e-03;0.000000e+00:0:3.317135e-03"
