ParamsID,Order,a,b,c,IntervalIndices,Offsets
0,1,0,1.00392,1,"0","0"
1,1,0,1.01179,0.999938,"1","0"
2,1,0,1.01973,0.999814,"2","0"
3,1,0,1.02772,0.999627,"3","0"
4,1,0,1.03578,0.999375,"4","0"
5,1,0,1.04391,0.999058,"5","0"
6,1,0,1.05004,0.99877,"6","0"
7,1,0,1.05828,0.998336,"7","0"
8,1,0,1.0684,0.997719,"8","0"
9,1,0,1.07626,0.997171,"9","0"
10,1,0,1.08417,0.996561,"10","0"
11,1,0,1.09214,0.995887,"11","0"
12,1,0,1.10017,0.99515,"12","0"
13,1,0,1.10825,0.994349,"13","0"
14,1,0,1.1164,0.993481,"14","0"
15,1,0,1.12461,0.992548,"15","0"
16,1,0,1.13287,0.991547,"16","0"
17,1,0,1.1412,0.990477,"17","0"
18,1,0,1.14959,0.989339,"18","0"
19,1,0,1.15804,0.988129,"19","0"
20,1,0,1.16656,0.986849,"20","0"
21,1,0,1.17513,0.985497,"21","0"
22,1,0,1.18377,0.984071,"22","0"
23,1,0,1.19247,0.982571,"23","0"
24,1,0,1.20124,0.980996,"24","0"
25,1,0,1.21007,0.979345,"25","0"
26,1,0,1.21896,0.977616,"26","0"
27,1,0,1.22762,0.975869,"27","0"
28,1,0,1.23604,0.974114,"28","0"
29,1,0,1.24452,0.972288,"29","0"
30,1,0,1.25306,0.970392,"30","0"
31,1,0,1.26165,0.968423,"31","0"
32,1,0,1.27031,0.966382,"32","0"
33,1,0,1.27902,0.964268,"33","0"
34,1,0,1.2878,0.962079,"34","0"
35,1,0,1.29663,0.959814,"35","0"
36,1,0,1.30552,0.957473,"36","0"
37,1,0,1.31448,0.955055,"37","0"
38,1,0,1.32349,0.952559,"38","0"
39,1,0,1.33257,0.949984,"39","0"
40,1,0,1.34171,0.947328,"40","0"
41,1,0,1.35092,0.944591,"41","0"
42,1,0,1.36018,0.941773,"42","0"
43,1,0,1.36951,0.938871,"43","0"
44,1,0,1.37891,0.935884,"44","0"
45,1,0,1.38837,0.932813,"45","0"
46,1,0,1.39789,0.929656,"46","0"
47,1,0,1.40748,0.926411,"47","0"
48,1,0,1.41713,0.923078,"48","0"
49,1,0,1.42685,0.919656,"49","0"
50,1,0,1.43629,0.91627,"50","0"
51,1,0,1.44543,0.912929,"51","0"
52,1,0,1.45464,0.909509,"52","0"
53,1,0,1.4639,0.906008,"53","0"
54,1,0,1.47322,0.902426,"54","0"
55,1,0,1.4826,0.898762,"55","0"
56,1,0,1.49205,0.895014,"56","0"
57,1,0,1.50155,0.891182,"57","0"
58,1,0,1.51111,0.887265,"58","0"
59,1,0,1.52073,0.883262,"59","0"
60,1,0,1.53041,0.879172,"60","0"
61,1,0,1.54016,0.874994,"61","0"
62,1,0,1.54997,0.870727,"62","0"
63,1,0,1.55984,0.86637,"63","0"
64,1,0,1.56977,0.861923,"64","0"
65,1,0,1.57977,0.857383,"65","0"
66,1,0,1.58983,0.852751,"66","0"
67,1,0,1.59995,0.848026,"67","0"
68,1,0,1.61014,0.843205,"68","0"
69,1,0,1.62039,0.838289,"69","0"
70,1,0,1.63071,0.833276,"70","0"
71,1,0,1.64109,0.828165,"71","0"
72,1,0,1.65154,0.822955,"72","0"
73,1,0,1.66206,0.817645,"73","0"
74,1,0,1.67264,0.812235,"74","0"
75,1,0,1.6833,0.806722,"75","0"
76,1,0,1.69401,0.801106,"76","0"
77,1,0,1.7048,0.795386,"77","0"
78,1,0,1.71566,0.78956,"78","0"
79,1,0,1.72658,0.783628,"79","0"
80,1,0,1.73715,0.777822,"80","0"
81,1,0,1.74736,0.772154,"81","0"
82,1,0,1.75763,0.766393,"82","0"
83,1,0,1.76796,0.760538,"83","0"
84,1,0,1.77835,0.754587,"84","0"
85,1,0,1.7888,0.748541,"85","0"
86,1,0,1.79931,0.742397,"86","0"
87,1,0,1.80988,0.736155,"87","0"
88,1,0,1.82052,0.729814,"88","0"
89,1,0,1.83122,0.723373,"89","0"
90,1,0,1.84198,0.716831,"90","0"
91,1,0,1.8528,0.710187,"91","0"
92,1,0,1.86369,0.70344,"92","0"
93,1,0,1.87465,0.69659,"93","0"
94,1,0,1.88566,0.689635,"94","0"
95,1,0,1.89674,0.682574,"95","0"
96,1,0,1.90789,0.675406,"96","0"
97,1,0,1.9191,0.66813,"97","0"
98,1,0,1.93038,0.660746,"98","0"
99,1,0,1.94172,0.653251,"99","0"
100,1,0,1.95313,0.645646,"100","0"
101,1,0,1.96461,0.637929,"101","0"
102,1,0,1.97616,0.630099,"102","0"
103,1,0,1.98777,0.622154,"103","0"
104,1,0,1.99945,0.614095,"104","0"
105,1,0,2.0112,0.605919,"105","0"
106,1,0,2.02302,0.597626,"106","0"
107,1,0,2.03491,0.589215,"107","0"
108,1,0,2.04687,0.580684,"108","0"
109,1,0,2.05889,0.572033,"109","0"
110,1,0,2.07099,0.56326,"110","0"
111,1,0,2.08316,0.554364,"111","0"
112,1,0,2.09541,0.545344,"112","0"
113,1,0,2.10772,0.536199,"113","0"
114,1,0,2.12011,0.526927,"114","0"
115,1,0,2.13257,0.517528,"115","0"
116,1,0,2.1451,0.508,"116","0"
117,1,0,2.1577,0.498343,"117","0"
118,1,0,2.17038,0.488554,"118","0"
119,1,0,2.18314,0.478634,"119","0"
120,1,0,2.19543,0.469,"120","0"
121,1,0,2.20725,0.45967,"121","0"
122,1,0,2.21914,0.450227,"122","0"
123,1,0,2.23109,0.440668,"123","0"
124,1,0,2.24311,0.430993,"124","0"
125,1,0,2.25519,0.421202,"125","0"
126,1,0,2.26733,0.411292,"126","0"
127,1,0,2.27954,0.401263,"127","0"
128,1,0,2.29182,0.391115,"128","0"
129,1,0,2.30416,0.380845,"129","0"
130,1,0,2.31657,0.370454,"130","0"
131,1,0,2.32905,0.359939,"131","0"
132,1,0,2.34159,0.349301,"132","0"
133,1,0,2.3542,0.338537,"133","0"
134,1,0,2.36688,0.327648,"134","0"
135,1,0,2.37963,0.316631,"135","0"
136,1,0,2.39244,0.305486,"136","0"
137,1,0,2.40533,0.294212,"137","0"
138,1,0,2.41828,0.282808,"138","0"
139,1,0,2.43131,0.271272,"139","0"
140,1,0,2.4444,0.259604,"140","0"
141,1,0,2.45757,0.247802,"141","0"
142,1,0,2.4708,0.235866,"142","0"
143,1,0,2.48411,0.223794,"143","0"
144,1,0,2.49749,0.211585,"144","0"
145,1,0,2.51094,0.199238,"145","0"
146,1,0,2.52446,0.186752,"146","0"
147,1,0,2.53805,0.174126,"147","0"
148,1,0,2.55172,0.161358,"148","0"
149,1,0,2.56547,0.148447,"149","0"
150,1,0,2.57928,0.135393,"150","0"
151,1,0,2.59317,0.122194,"151","0"
152,1,0,2.60714,0.108849,"152","0"
153,1,0,2.62118,0.0953568,"153","0"
154,1,0,2.6353,0.0817159,"154","0"
155,1,0,2.64949,0.0679254,"155","0"
156,1,0,2.66376,0.0539839,"156","0"
157,1,0,2.6781,0.0398903,"157","0"
158,1,0,2.69253,0.0256433,"158","0"
159,1,0,2.70703,0.0112417,"159","0"
160,1,0,2.71629,0.00198996,"160","0"
