GroupID,Length,BaseStart,BaseEnd,FitOrder,FitA,FitB,FitC,StartScaleFactor,SlopeScaleFactor,InterceptScaleFactor,BitWidthStart,BitBitWidthIntercept,DeltaEncodings
0,1.807523e-02,8.480703e-01,8.661456e-01,0,0.000000e+00,2.345720e+00,3.458006e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
1,1.905227e-02,7.337567e-01,7.528090e-01,0,0.000000e+00,2.092843e+00,5.472529e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
2,2.002931e-02,6.736688e-01,6.936981e-01,0,0.000000e+00,1.971275e+00,6.334341e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
3,2.100635e-02,5.686370e-01,5.896434e-01,0,0.000000e+00,1.775165e+00,7.564342e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
4,2.198339e-02,4.807035e-01,5.026869e-01,0,0.000000e+00,1.626132e+00,8.355242e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"0:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
5,2.296043e-02,4.118222e-01,4.347826e-01,0,0.000000e+00,1.518264e+00,8.843111e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
6,2.393747e-02,3.400098e-01,3.639472e-01,0,0.000000e+00,1.413403e+00,9.243906e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
7,2.442599e-02,2.667318e-01,2.911578e-01,0,0.000000e+00,1.313696e+00,9.552857e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
8,2.540303e-02,1.905227e-01,2.159257e-01,0,0.000000e+00,1.217598e+00,9.779017e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
9,2.638007e-02,1.113825e-01,1.377626e-01,0,0.000000e+00,1.125227e+00,9.924918e-01,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
10,4.885208e-04,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.638400e+04,1.638400e+04,8,14,"1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;1:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
