GroupID,Length,BaseStart,BaseEnd,FitOrder,FitA,FitB,FitC,BitWidthStart,BitWidthIntercept,DeltaEncodings
0,1.560000e-02,2.999511e-01,3.155838e-01,0,0.000000e+00,3.270013e+00,-2.184814e+00,12,13,"0.000000e+00:0:0.000000e+00;1.563263e-02:0:6.784255e-02;3.126527e-02:0:1.145088e-01;4.689790e-02:0:1.590937e-01;6.253053e-02:0:2.017749e-01;7.816317e-02:0:2.427085e-01;9.379580e-02:0:2.820319e-01;1.094284e-01:0:3.198671e-01;1.250611e-01:0:3.563227e-01;1.406937e-01:0:3.914957e-01;1.797753e-01:0:4.743683e-01;1.954079e-01:0:5.056852e-01;2.110405e-01:0:5.360510e-01;2.266732e-01:0:5.655217e-01;2.423058e-01:0:5.941487e-01;2.579384e-01:0:6.219788e-01;2.735711e-01:0:6.490553e-01;2.892037e-01:0:6.754179e-01"
1,2.000000e-04,2.686859e-03,2.870054e-03,1,0.000000e+00,3.541067e+02,-6.869730e+00,8,13,"0.000000e+00:0:0.000000e+00;1.831953e-04:0:6.287367e-02;4.885198e-04:0:1.596014e-01;6.717151e-04:0:2.134422e-01;9.159745e-04:0:2.930752e-01;1.160235e-03:0:3.556210e-01;1.404494e-03:0:4.144828e-01;1.648755e-03:0:4.700705e-01;1.893014e-03:0:5.227295e-01;2.137274e-03:0:5.727529e-01;2.713451e-03:0:6.673874e-01"
2,2.540000e-02,8.417196e-01,8.671226e-01,0,0.000000e+00,1.161769e+00,-1.149971e+00,10,10,"0.000000e+00:0:0.000000e+00;2.540303e-02:0:2.908739e-02;1.045432e-01:0:1.146344e-01"
3,1.000000e-04,7.327797e-04,7.938448e-04,1,0.000000e+00,1.284557e+03,-8.158361e+00,8,14,"0.000000e+00:0:0.000000e+00;6.106510e-05:0:7.555261e-02;1.221302e-04:0:1.457931e-01;1.831953e-04:0:2.114199e-01;2.442594e-04:0:2.730013e-01;3.053245e-04:0:3.310090e-01;3.663896e-04:0:3.858345e-01;4.274547e-04:0:4.378090e-01;4.885198e-04:0:4.872144e-01;5.495849e-04:0:5.342929e-01;6.106500e-04:0:5.678930e-01;6.717151e-04:0:6.114124e-01;7.327792e-04:0:6.531147e-01;7.938443e-04:0:6.931469e-01;8.549094e-04:0:7.316370e-01;9.159745e-04:0:7.686995e-01;9.770396e-04:0:8.044367e-01;1.038105e-03:0:8.389400e-01;1.099170e-03:0:9.045668e-01;1.221299e-03:0:9.661487e-01;1.343429e-03:0:1.024156e+00;1.465559e-03:0:1.078982e+00;1.587690e-03:0:1.130956e+00;1.709819e-03:0:1.180361e+00;1.831949e-03:0:1.227440e+00;2.320469e-03:0:1.386294e+00;2.808989e-03:0:1.523755e+00"
4,1.500000e-03,2.149487e-02,2.296043e-02,1,0.000000e+00,4.426334e+01,-4.790288e+00,14,15,"0.000000e+00:0:0.000000e+00;1.465559e-03:0:6.287379e-02;3.908158e-03:0:1.596014e-01;5.373718e-03:0:2.134423e-01;2.296043e-02:0:6.931472e-01;9.770396e-01:0:3.789555e+00"
5,7.800000e-03,1.162677e-01,1.240840e-01,1,0.000000e+00,8.188699e+00,-3.102883e+00,11,13,"0.000000e+00:0:0.000000e+00;7.816317e-03:0:6.206029e-02;1.563263e-02:0:1.204918e-01;2.344895e-02:0:1.756958e-01;3.126527e-02:0:2.280102e-01;3.908158e-02:0:2.777227e-01;4.689790e-02:0:3.250798e-01;5.471422e-02:0:3.702949e-01;6.253053e-02:0:4.135533e-01;7.034685e-02:0:4.550175e-01;7.816317e-02:0:4.948303e-01;8.597948e-02:0:5.331183e-01;9.379580e-02:0:5.699941e-01;1.016121e-01:0:6.055581e-01;1.094284e-01:0:6.399004e-01;1.289692e-01:0:7.209252e-01;1.367855e-01:0:7.515820e-01"
6,4.000000e-04,5.068393e-03,5.400310e-03,1,0.000000e+00,1.880796e+02,-6.236987e+00,9,16,"0.000000e+00:0:0.000000e+00;5.419517e-04:0:7.564249e-02;-5.068393e-03:0:-nan;7.938443e-04:0:1.580671e-01;1.282364e-03:0:2.336196e-01;1.770884e-03:0:3.038599e-01;2.259404e-03:0:3.694866e-01;2.747923e-03:0:4.310689e-01;3.236443e-03:0:4.890765e-01;3.724963e-03:0:5.439019e-01;4.213483e-03:0:5.958762e-01;4.702003e-03:0:6.452815e-01;5.190522e-03:0:6.923599e-01;5.679042e-03:0:7.259599e-01;6.167562e-03:0:7.694793e-01;6.656082e-03:0:8.111822e-01;7.144601e-03:0:8.512142e-01;7.633121e-03:0:8.897042e-01;8.121641e-03:0:9.267667e-01;8.610161e-03:0:9.625038e-01;9.098681e-03:0:9.970071e-01;2.326575e-02:0:1.681822e+00"
7,0.000000e+00,4.885193e-04,5.190518e-04,1,0.000000e+00,1.955490e+03,-8.578508e+00,8,12,"0.000000e+00:0:0.000000e+00;3.053255e-05:0:5.800775e-02;6.106510e-05:0:1.128333e-01;9.159764e-05:0:1.648078e-01;1.221302e-04:0:2.142132e-01;1.526627e-04:0:2.657022e-01;1.871350e-04:0:2.975100e-01;2.132354e-04:0:3.380555e-01"
8,1.000000e-03,1.465559e-02,1.563263e-02,1,0.000000e+00,6.498958e+01,-5.174353e+00,8,13,"0.000000e+00:0:0.000000e+00;9.770396e-04:0:6.158222e-02;1.954079e-03:0:1.195898e-01;2.931119e-03:0:1.744152e-01;3.908158e-03:0:2.263896e-01;4.885198e-03:0:2.757949e-01;5.862237e-03:0:3.228733e-01;9.770396e-03:0:4.817276e-01"
9,1.170000e-02,2.335125e-01,2.452369e-01,0,0.000000e+00,4.127217e+00,-2.417677e+00,8,10,"0.000000e+00:0:0.000000e+00;2.735711e-02:0:1.069956e-01;3.908158e-02:0:1.495633e-01;5.080606e-02:0:1.903923e-01"
10,2.000000e-03,2.882267e-02,3.077675e-02,1,0.000000e+00,3.301899e+01,-4.497213e+00,14,15,"0.000000e+00:0:0.000000e+00;1.954079e-03:0:6.254584e-02;3.908158e-03:0:1.214076e-01;5.862237e-03:0:1.769953e-01;7.816317e-03:0:2.296543e-01;9.770396e-03:0:2.796777e-01;1.172447e-02:0:3.273170e-01;1.367855e-02:0:3.612979e-01;1.709819e-02:0:4.370688e-01;1.905227e-02:0:4.779192e-01;2.100635e-02:0:5.171651e-01;2.296043e-02:0:5.549278e-01;2.491451e-02:0:5.913155e-01;2.686859e-02:0:6.264249e-01;9.692233e-01:0:3.496235e+00"
11,4.000000e-03,5.764533e-02,6.155349e-02,1,0.000000e+00,1.650950e+01,-3.804066e+00,12,14,"0.000000e+00:0:0.000000e+00;3.908158e-03:0:6.254584e-02;7.816317e-03:0:1.214076e-01;1.172447e-02:0:1.769953e-01;1.563263e-02:0:2.296543e-01;1.954079e-02:0:2.796777e-01;2.344895e-02:0:3.273170e-01;2.735711e-02:0:3.612979e-01;3.126527e-02:0:4.052964e-01;3.517342e-02:0:4.474391e-01;3.908158e-02:0:4.878761e-01;4.298974e-02:0:5.267404e-01;4.689790e-02:0:5.641497e-01;5.080606e-02:0:6.002092e-01;5.471422e-02:0:6.350128e-01;2.383977e-01:0:1.593358e+00"
12,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,8,8,"0.000000e+00:0:-1.765599e+00;0.000000e+00:0:-1.474288e+00;0.000000e+00:0:-1.443531e+00;0.000000e+00:0:-1.414649e+00;0.000000e+00:0:-1.385140e+00;0.000000e+00:0:-1.356125e+00;0.000000e+00:0:-1.326914e+00;0.000000e+00:0:-1.297217e+00;0.000000e+00:0:-1.268053e+00;0.000000e+00:0:-1.238789e+00;0.000000e+00:0:-1.209151e+00;0.000000e+00:0:-1.179634e+00;0.000000e+00:0:-1.091818e+00;0.000000e+00:0:-1.062533e+00;0.000000e+00:0:-1.008255e+00"
