ParamsID,Order,a,b,c,IntervalIndices,Offsets
0,1,0,inf,-nan,"0","0"
1,1,0,1027.52,-7.93491,"1","0"
2,1,0,685.912,-7.53076,"2","0"
3,1,0,513.759,-7.24176,"3","0"
4,1,0,411.98,-7.021,"4","0"
5,1,0,342.956,-6.83762,"5","0"
6,1,0,293.742,-6.68271,"6","0"
7,1,0,256.88,-6.54862,"7","0"
8,1,0,229.039,-6.43392,"8","0"
9,1,0,205.99,-6.32785,"9","0"
10,1,0,187.156,-6.23196,"10","0"
11,1,0,171.478,-6.14447,"11","0"
12,1,0,158.223,-6.06402,"12","0"
13,1,0,146.871,-5.98956,"13","0"
14,1,0,137.038,-5.92027,"14","0"
15,1,0,128.44,-5.85547,"15","0"
16,1,0,120.857,-5.79461,"16","0"
17,1,0,114.519,-5.74077,"17","0"
18,1,0,108.452,-5.68633,"18","0"
19,1,0,102.995,-5.6347,"19","0"
20,1,0,98.061,-5.58561,"20","0"
21,1,0,93.5782,-5.53881,"21","0"
22,1,0,89.4872,-5.49411,"22","0"
23,1,0,85.739,-5.45132,"23","0"
24,1,0,82.2921,-5.41029,"24","0"
25,1,0,79.1117,-5.37087,"25","0"
26,1,0,76.168,-5.33295,"26","0"
27,1,0,73.4355,-5.29642,"27","0"
28,1,0,70.8922,-5.26117,"28","0"
29,1,0,68.5192,-5.22712,"29","0"
30,1,0,66.3,-5.1942,"30","0"
31,1,0,64.2199,-5.16232,"31","0"
32,1,0,62.2665,-5.13143,"32","0"
33,1,0,60.4283,-5.10146,"33","0"
34,1,0,58.6956,-5.07237,"34","0"
35,1,0,57.2597,-5.04762,"35","0"
36,1,0,55.7015,-5.02003,"36","0"
37,1,0,54.226,-4.99318,"37","0"
38,1,0,52.8265,-4.96703,"38","0"
39,1,0,51.4975,-4.94155,"39","0"
40,1,0,50.2338,-4.91671,"40","0"
41,1,0,49.0305,-4.89246,"41","0"
42,1,0,47.8836,-4.86879,"42","0"
43,1,0,46.7891,-4.84567,"43","0"
44,1,0,45.7435,-4.82307,"44","0"
45,1,0,44.7436,-4.80096,"45","0"
46,1,0,43.7865,-4.77934,"46","0"
47,1,0,42.8695,-4.75817,"47","0"
48,1,0,41.9901,-4.73745,"48","0"
49,1,0,41.1461,-4.71714,"49","0"
50,1,0,40.3353,-4.69724,"50","0"
51,1,0,39.5559,-4.67773,"51","0"
52,1,0,38.806,-4.65859,"52","0"
53,1,0,38.084,-4.6398,"53","0"
54,1,0,37.3884,-4.62137,"54","0"
55,1,0,36.7177,-4.60327,"55","0"
56,1,0,36.0707,-4.58549,"56","0"
57,1,0,35.4461,-4.56802,"57","0"
58,1,0,34.8428,-4.55085,"58","0"
59,1,0,34.2596,-4.53398,"59","0"
60,1,0,33.6957,-4.51738,"60","0"
61,1,0,33.15,-4.50105,"61","0"
62,1,0,32.6217,-4.48499,"62","0"
63,1,0,32.11,-4.46917,"63","0"
64,1,0,31.6141,-4.45361,"64","0"
65,1,0,31.1332,-4.43828,"65","0"
66,1,0,30.6668,-4.42319,"66","0"
67,1,0,30.2142,-4.40832,"67","0"
68,1,0,29.7747,-4.39366,"68","0"
69,1,0,29.3478,-4.37922,"69","0"
70,1,0,29.0359,-4.36856,"70","0"
71,1,0,28.6298,-4.35447,"71","0"
72,1,0,28.2349,-4.34058,"72","0"
73,1,0,27.8508,-4.32688,"73","0"
74,1,0,27.4769,-4.31337,"74","0"
75,1,0,27.113,-4.30003,"75","0"
76,1,0,26.7586,-4.28688,"76","0"
