Order,a,b,c,RangeStart,RangeEnd
1,0,inf,-nan,0,0.00048852
1,0,1955.49,-8.57851,0.000503786,0.000519052
1,0,1845.31,-8.5205,0.000534318,0.000549584
1,0,1746.88,-8.46567,0.000564851,0.000580117
1,0,1658.42,-8.4137,0.000595383,0.000610649
1,0,1578.49,-8.36429,0.000625916,0.000641182
1,0,1499.25,-8.31281,0.000658418,0.000675654
1,0,1452.18,-8.281,0.000675654,0.000701755
1,0,1394.4,-8.24045,0.000701755,0.00073278
1,0,1284.56,-8.15836,0.000763312,0.000793845
1,0,1191.11,-8.08281,0.000824377,0.00085491
1,0,1110.34,-8.01257,0.000885442,0.000915975
1,0,1039.83,-7.94694,0.000946508,0.00097704
1,0,977.745,-7.88536,0.00100757,0.0010381
1,0,922.653,-7.82735,0.00106864,0.00109917
1,0,873.439,-7.77253,0.0011297,0.00116023
1,0,829.209,-7.72055,0.00119077,0.0012213
1,0,789.243,-7.67115,0.00125183,0.00128236
1,0,752.953,-7.62407,0.0013129,0.00134343
1,0,727.942,-7.59047,0.00134343,0.00140449
1,0,696.956,-7.54695,0.00140449,0.00146556
1,0,668.501,-7.50525,0.00146556,0.00152662
1,0,642.279,-7.46521,0.00152662,0.00158769
1,0,618.036,-7.42672,0.00158769,0.00164875
1,0,595.557,-7.38966,0.00164875,0.00170982
1,0,574.655,-7.35392,0.00170982,0.00177088
1,0,555.172,-7.31942,0.00177088,0.00183195
1,0,519.917,-7.25379,0.00189301,0.00195408
1,0,488.872,-7.19221,0.00201514,0.00207621
1,0,461.326,-7.1342,0.00213727,0.00219834
1,0,436.719,-7.07938,0.0022594,0.00232047
1,0,414.604,-7.0274,0.00238153,0.0024426
1,0,394.622,-6.978,0.00250366,0.00256473
1,0,376.476,-6.93092,0.00262579,0.00268686
1,0,354.107,-6.86973,0.00277846,0.00287005
1,0,332.533,-6.80686,0.00296165,0.00305325
1,0,321.139,-6.77207,0.00305325,0.00317538
1,0,301.881,-6.71013,0.00326698,0.00335857
1,0,286.06,-6.65629,0.00345017,0.00354177
1,0,279.938,-6.63461,0.00354177,0.00360283
1,0,264.152,-6.57665,0.00372496,0.00384709
1,0,248.14,-6.51411,0.00396922,0.00409135
1,0,233.959,-6.45525,0.00421348,0.00433561
1,0,221.311,-6.39966,0.00445774,0.00457987
1,0,209.96,-6.347,0.004702,0.00482413
1,0,199.717,-6.29698,0.00494626,0.00506839
1,0,188.08,-6.23699,0.00523435,0.00540031
1,0,181.664,-6.20234,0.00540031,0.00561034
1,0,174.357,-6.16134,0.00561034,0.00586224
1,0,160.57,-6.07892,0.0061065,0.00635076
1,0,148.889,-6.00337,0.00659502,0.00683928
1,0,138.793,-5.93313,0.00708354,0.0073278
1,0,129.979,-5.8675,0.00757206,0.00781632
1,0,122.218,-5.80592,0.00806058,0.00830484
1,0,115.332,-5.74791,0.0085491,0.00879336
1,0,109.18,-5.69308,0.00903762,0.00928188
1,0,103.651,-5.64111,0.00952614,0.0097704
1,0,98.6554,-5.59171,0.0100147,0.0102589
1,0,94.1191,-5.54463,0.0105032,0.0107474
1,0,90.9928,-5.51103,0.0107474,0.011236
1,0,87.1195,-5.46751,0.011236,0.0117245
1,0,83.5626,-5.4258,0.0117245,0.012213
1,0,80.2848,-5.38577,0.012213,0.0127015
1,0,77.2545,-5.34728,0.0127015,0.01319
1,0,74.4446,-5.31022,0.01319,0.0136786
1,0,71.8319,-5.27448,0.0136786,0.0141671
1,0,69.3965,-5.23998,0.0141671,0.0146556
1,0,64.9896,-5.17435,0.0151441,0.0156326
1,0,61.109,-5.11277,0.0161212,0.0166097
1,0,57.6658,-5.05476,0.0170982,0.0175867
1,0,54.5899,-4.99994,0.0180752,0.0185638
1,0,51.8256,-4.94796,0.0190523,0.0195408
1,0,49.3277,-4.89856,0.0200293,0.0205178
1,0,47.0595,-4.85148,0.0210064,0.0214949
1,0,44.2633,-4.79029,0.0222277,0.0229604
1,0,41.5667,-4.72741,0.0236932,0.024426
1,0,40.1424,-4.69263,0.024426,0.025403
1,0,37.7351,-4.63069,0.0261358,0.0268686
1,0,35.7575,-4.57685,0.0276014,0.0283341
1,0,34.9923,-4.55516,0.0283341,0.0288227
1,0,33.019,-4.49721,0.0297997,0.0307767
1,0,31.0175,-4.43467,0.0317538,0.0327308
1,0,29.2448,-4.37581,0.0337079,0.0346849
1,0,27.6638,-4.32022,0.0356619,0.036639
1,0,26.245,-4.26756,0.037616,0.0385931
1,0,24.9647,-4.21754,0.0395701,0.0405471
1,0,23.8034,-4.1699,0.0415242,0.0425012
1,0,23.0039,-4.13592,0.0425012,0.0444553
1,0,22.1317,-4.09714,0.0444553,0.0459209
1,0,21.326,-4.06014,0.0459209,0.0478749
1,0,20.4727,-4.01929,0.0478749,0.049829
1,0,19.6851,-3.98005,0.049829,0.0517831
1,0,18.9559,-3.94229,0.0517831,0.0537372
1,0,18.2787,-3.9059,0.0537372,0.0556913
1,0,17.6483,-3.87079,0.0556913,0.0576453
1,0,16.5095,-3.80407,0.0595994,0.0615535
1,0,15.5088,-3.74152,0.0635076,0.0654617
1,0,14.6224,-3.68266,0.0674157,0.0693698
1,0,13.8319,-3.62707,0.0713239,0.073278
1,0,13.1225,-3.57441,0.075232,0.0771861
1,0,12.4823,-3.52439,0.0791402,0.0810943
1,0,11.9017,-3.47675,0.0830484,0.0850024
1,0,11.5019,-3.44277,0.0850024,0.0889106
1,0,11.0071,-3.39877,0.0889106,0.0928188
1,0,10.553,-3.35663,0.0928188,0.0967269
1,0,10.135,-3.31619,0.0967269,0.100635
1,0,9.7488,-3.27733,0.100635,0.104543
1,0,9.39096,-3.23992,0.104543,0.108451
1,0,9.05847,-3.20386,0.108451,0.11236
1,0,8.74872,-3.16905,0.11236,0.116268
1,0,8.1887,-3.10288,0.120176,0.124084
1,0,7.69607,-3.04082,0.127992,0.1319
1,0,7.25935,-2.98239,0.135809,0.139717
1,0,6.86954,-2.92719,0.143625,0.147533
1,0,6.51946,-2.87487,0.151441,0.155349
1,0,6.20333,-2.82516,0.159257,0.163166
1,0,5.91645,-2.7778,0.167074,0.170982
1,0,5.65493,-2.73259,0.17489,0.178798
1,0,5.41555,-2.68933,0.182706,0.186615
1,0,5.19561,-2.64787,0.190523,0.194431
1,0,4.99284,-2.60805,0.198339,0.202247
1,0,4.80531,-2.56976,0.206155,0.210064
1,0,4.63135,-2.53289,0.213972,0.21788
1,0,4.46955,-2.49732,0.221788,0.225696
1,0,4.31867,-2.46298,0.229604,0.233512
1,0,4.12722,-2.41768,0.239375,0.245237
1,0,3.98257,-2.38196,0.249145,0.253053
1,0,3.86234,-2.3513,0.256961,0.26087
1,0,3.70848,-2.31068,0.266732,0.272594
1,0,3.55395,-2.26811,0.278456,0.284319
