GroupID,Length,BaseStart,BaseEnd,FitMethod,FitA,FitB,FitC,BitWidth,ScaleFactor,DeltaEncodings
0,0.00244141,9.975586e-01,1.000000e+00,L,0.000000e+00,5.413290e-01,3.001420e-01,1,1.000000e+00,""
1,7.324219e-03,9.536133e-01,9.609375e-01,L,0.000000e+00,5.757485e-01,2.664705e-01,2,3.662109e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
2,7.812500e-03,9.067383e-01,9.145508e-01,L,0.000000e+00,6.132352e-01,2.314538e-01,2,3.906250e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
3,8.300781e-03,8.569336e-01,8.652344e-01,L,0.000000e+00,6.516137e-01,1.974487e-01,2,4.150391e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
4,8.789062e-03,8.217773e-01,8.305664e-01,L,0.000000e+00,6.776935e-01,1.754440e-01,2,2.636719e-02,"0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
5,9.277344e-03,7.846680e-01,7.939453e-01,L,0.000000e+00,7.043352e-01,1.539210e-01,2,2.783203e-02,"0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
6,9.765625e-03,7.456055e-01,7.553711e-01,L,0.000000e+00,7.330181e-01,1.318745e-01,2,2.929688e-02,"0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
7,1.025391e-02,7.148438e-01,7.250977e-01,L,0.000000e+00,7.535120e-01,1.168561e-01,2,2.050781e-02,"0:0.000000e+00:1:1;0:0.000000e+00:1:1"
8,1.074219e-02,6.933594e-01,7.041016e-01,L,0.000000e+00,7.673832e-01,1.070521e-01,2,1.074219e-02,"0:0.000000e+00:1:1"
9,1.123047e-02,6.596680e-01,6.708984e-01,L,0.000000e+00,7.884710e-01,9.272548e-02,2,2.246094e-02,"0:0.000000e+00:1:1;0:0.000000e+00:1:1"
10,1.171875e-02,6.362305e-01,6.479492e-01,L,0.000000e+00,8.025959e-01,8.353173e-02,2,1.171875e-02,"0:0.000000e+00:1:1"
11,1.220703e-02,6.118164e-01,6.240234e-01,L,0.000000e+00,8.168482e-01,7.459418e-02,2,1.220703e-02,"0:0.000000e+00:1:1"
12,1.269531e-02,5.991211e-01,6.118164e-01,L,0.000000e+00,8.240362e-01,7.021936e-02,1,1.000000e+00,""
13,1.318359e-02,5.727539e-01,5.859375e-01,L,0.000000e+00,8.386194e-01,6.162598e-02,2,1.318359e-02,"0:0.000000e+00:1:1"
14,1.367188e-02,5.590820e-01,5.727539e-01,L,0.000000e+00,8.459229e-01,5.746795e-02,1,1.000000e+00,""
15,1.416016e-02,5.449219e-01,5.590820e-01,L,0.000000e+00,8.533257e-01,5.335546e-02,1,1.000000e+00,""
16,1.464844e-02,5.156250e-01,5.302734e-01,L,0.000000e+00,8.681712e-01,4.542789e-02,2,1.464844e-02,"0:0.000000e+00:1:1"
17,1.513672e-02,5.004883e-01,5.156250e-01,L,0.000000e+00,8.755241e-01,4.166442e-02,1,1.000000e+00,""
18,1.562500e-02,4.848633e-01,5.004883e-01,L,0.000000e+00,8.829090e-01,3.799723e-02,1,1.000000e+00,""
19,1.660156e-02,4.682617e-01,4.848633e-01,L,0.000000e+00,8.904707e-01,3.436245e-02,1,1.000000e+00,""
20,1.708984e-02,4.511719e-01,4.682617e-01,L,0.000000e+00,8.980629e-01,3.083971e-02,1,1.000000e+00,""
21,1.757812e-02,4.335938e-01,4.511719e-01,L,0.000000e+00,9.056038e-01,2.747056e-02,1,1.000000e+00,""
22,1.855469e-02,4.150391e-01,4.335938e-01,L,0.000000e+00,9.132170e-01,2.420494e-02,1,1.000000e+00,""
23,1.953125e-02,3.955078e-01,4.150391e-01,L,0.000000e+00,9.209051e-01,2.105167e-02,1,1.000000e+00,""
24,2.050781e-02,3.750000e-01,3.955078e-01,L,0.000000e+00,9.286135e-01,1.804248e-02,1,1.000000e+00,""
25,2.197266e-02,3.530273e-01,3.750000e-01,L,0.000000e+00,9.364123e-01,1.516090e-02,1,1.000000e+00,""
26,2.343750e-02,3.295898e-01,3.530273e-01,L,0.000000e+00,9.442571e-01,1.243742e-02,1,1.000000e+00,""
27,2.490234e-02,3.046875e-01,3.295898e-01,L,0.000000e+00,9.520485e-01,9.917813e-03,1,1.000000e+00,""
28,2.734375e-02,2.773438e-01,3.046875e-01,L,0.000000e+00,9.598845e-01,7.583909e-03,1,1.000000e+00,""
29,3.027344e-02,2.470703e-01,2.773438e-01,L,0.000000e+00,9.677451e-01,5.463198e-03,1,1.000000e+00,""
30,3.466797e-02,2.124023e-01,2.470703e-01,L,0.000000e+00,9.766015e-01,3.376409e-03,1,1.000000e+00,""
31,4.150391e-02,1.708984e-01,2.124023e-01,L,0.000000e+00,9.845324e-01,1.812721e-03,1,1.000000e+00,""
32,5.517578e-02,1.157227e-01,1.708984e-01,L,0.000000e+00,9.924838e-01,6.116844e-04,1,1.000000e+00,""
33,1.157227e-01,0.000000e+00,1.157227e-01,L,0.000000e+00,9.998605e-01,0.000000e+00,1,1.000000e+00,""
