ParamsID,Order,a,b,c,IntervalIndices,Offsets
0,1,0,0.999861,0,"0","0"
1,1,0,0.992484,0.000611684,"1","0"
2,1,0,0.984532,0.00181272,"2","0"
3,1,0,0.976602,0.00337641,"3","0"
4,1,0,0.967745,0.0054632,"4","0"
5,1,0,0.959884,0.00758391,"5","0"
6,1,0,0.952048,0.00991781,"6","0"
7,1,0,0.944257,0.0124374,"7","0"
8,1,0,0.936412,0.0151609,"8","0"
9,1,0,0.928613,0.0180425,"9","0"
10,1,0,0.920905,0.0210517,"10","0"
11,1,0,0.913217,0.0242049,"11","0"
12,1,0,0.905604,0.0274706,"12","0"
13,1,0,0.898063,0.0308397,"13","0"
14,1,0,0.890471,0.0343625,"14","0"
15,1,0,0.882909,0.0379972,"15","0"
16,1,0,0.875524,0.0416644,"16","0"
17,1,0,0.868171,0.0454279,"17","0"
18,1,0,0.860809,0.0493051,"18","0"
19,1,0,0.853326,0.0533555,"19","0"
20,1,0,0.845923,0.057468,"20","0"
21,1,0,0.838619,0.061626,"21","0"
22,1,0,0.831365,0.0658526,"22","0"
23,1,0,0.824036,0.0702194,"23","0"
24,1,0,0.816848,0.0745942,"24","0"
25,1,0,0.809746,0.0790046,"25","0"
26,1,0,0.802596,0.0835317,"26","0"
27,1,0,0.79555,0.0880762,"27","0"
28,1,0,0.788471,0.0927255,"28","0"
29,1,0,0.781514,0.0973735,"29","0"
30,1,0,0.774458,0.102167,"30","0"
31,1,0,0.767383,0.107052,"31","0"
32,1,0,0.760451,0.111914,"32","0"
33,1,0,0.753512,0.116856,"33","0"
34,1,0,0.746731,0.121755,"34","0"
35,1,0,0.739872,0.126782,"35","0"
36,1,0,0.733018,0.131874,"36","0"
37,1,0,0.726341,0.136902,"37","0"
38,1,0,0.719594,0.142048,"38","0"
39,1,0,0.712778,0.147313,"39","0"
40,1,0,0.704335,0.153921,"40","0"
41,1,0,0.697719,0.159174,"41","0"
42,1,0,0.691043,0.164536,"42","0"
43,1,0,0.684308,0.170008,"43","0"
44,1,0,0.677694,0.175444,"44","0"
45,1,0,0.671204,0.180834,"45","0"
46,1,0,0.664664,0.186324,"46","0"
47,1,0,0.658071,0.191915,"47","0"
48,1,0,0.651614,0.197449,"48","0"
49,1,0,0.645295,0.202916,"49","0"
50,1,0,0.638931,0.208475,"50","0"
51,1,0,0.632524,0.214125,"51","0"
52,1,0,0.626073,0.219867,"52","0"
53,1,0,0.619579,0.225702,"53","0"
54,1,0,0.613235,0.231454,"54","0"
55,1,0,0.607045,0.237115,"55","0"
56,1,0,0.600819,0.242858,"56","0"
57,1,0,0.594555,0.248684,"57","0"
58,1,0,0.588256,0.254593,"58","0"
59,1,0,0.58192,0.260585,"59","0"
60,1,0,0.575749,0.266471,"60","0"
61,1,0,0.569745,0.27224,"61","0"
62,1,0,0.56371,0.278083,"62","0"
63,1,0,0.557646,0.283999,"63","0"
64,1,0,0.551551,0.28999,"64","0"
65,1,0,0.545427,0.296054,"65","0"
66,1,0,0.541329,0.300142,"66","0"
