Order,a,b,c,RangeStart,RangeEnd
1,0,0.999384,0,0,0.0608207
1,0,0.98829,0.00112462,0.121641,0.182706
1,0,0.966599,0.00573494,0.243771,0.274304
1,0,0.949166,0.0107967,0.304836,0.335369
1,0,0.928195,0.0181634,0.365901,0.396434
1,0,0.903763,0.0282349,0.426966,0.457499
1,0,0.875963,0.0413906,0.488031,0.518564
1,0,0.844897,0.0579868,0.549096,0.579629
1,0,0.810681,0.0783532,0.610161,0.640694
1,0,0.773444,0.102791,0.671226,0.701759
1,0,0.717586,0.143574,0.762824,0.77809
1,0,0.696034,0.160509,0.793356,0.8085
1,0,0.673971,0.178515,0.823644,0.838788
1,0,0.65129,0.197712,0.853933,0.869077
1,0,0.628012,0.21812,0.884221,0.899365
1,0,0.604157,0.239756,0.914509,0.929653
1,0,0.57465,0.267451,0.944797,0.972399
