GroupID,Length,BaseStart,BaseEnd,FitMethod,FitA,FitB,FitC,BitWidth,ScaleFactor,DeltaEncodings
0,4.8852e-10,1.000000e+00,1.000000e+00,L,0.000000e+00,5.000001e-01,4.999999e-01,1,1.000000e+00,"1:0.000000e+00"
1,4.885203e-04,0.000000e+00,4.885203e-04,Q,0.000000e+00,2.337678e+01,1.068246e-02,2,2.452369e-01,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
2,9.770405e-04,2.457255e-01,2.467025e-01,L,0.000000e+00,1.007660e+00,2.480994e-01,2,7.132389e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
3,1.465560e-03,3.180264e-01,3.194919e-01,L,0.000000e+00,8.856027e-01,2.822932e-01,2,2.931119e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
4,1.954080e-03,3.488031e-01,3.507572e-01,L,0.000000e+00,8.454206e-01,2.957102e-01,2,1.367855e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
5,2.442600e-03,3.644358e-01,3.668784e-01,L,0.000000e+00,8.268631e-01,3.023467e-01,2,2.442599e-03,"0:0.000000e+00:1:1"
6,2.931120e-03,3.693210e-01,3.722521e-01,L,0.000000e+00,8.211243e-01,3.044594e-01,1,1.000000e+00,""
7,3.419639e-03,3.722521e-01,3.756717e-01,L,0.000000e+00,8.176312e-01,3.057597e-01,1,1.000000e+00,""
8,6.350758e-03,3.756717e-01,3.820225e-01,L,0.000000e+00,8.123475e-01,3.077447e-01,1,1.000000e+00,""
9,6.839278e-03,3.820225e-01,3.888617e-01,L,0.000000e+00,8.053686e-01,3.104108e-01,2,1.367855e-02,"0:0.000000e+00:1:1;0:0.000000e+00:1:1"
