ParamsID,Order,a,b,c,IntervalIndices,Offsets
0,1,0,22.8014,0.0109635,"0","0"
1,1,0,16.1231,0.0155048,"1","0"
2,1,0,13.1997,0.0189377,"2","0"
3,1,0,11.4007,0.0219271,"3","0"
4,1,0,10.1808,0.0245549,"4","0"
5,1,0,9.28396,0.0269274,"5","0"
6,1,0,8.74786,0.0285778,"6","0"
7,1,0,8.06153,0.0310095,"7","0"
8,1,0,7.59374,0.0329202,"8","0"
9,1,0,7.19895,0.0347259,"9","0"
10,1,0,6.85996,0.0364422,"10","0"
11,1,0,6.56475,0.0380811,"11","0"
12,1,0,6.30464,0.0396524,"12","0"
13,1,0,6.07319,0.0411637,"13","0"
14,1,0,5.86549,0.0426214,"14","0"
15,1,0,5.67774,0.0440309,"15","0"
16,1,0,5.59038,0.044719,"16","0"
17,1,0,5.36958,0.0465562,"17","0"
18,1,0,5.22442,0.0478501,"18","0"
19,1,0,5.09043,0.0491098,"19","0"
20,1,0,4.96624,0.0503381,"20","0"
21,1,0,4.85072,0.051537,"21","0"
22,1,0,4.74291,0.0527087,"22","0"
23,1,0,4.64198,0.0538549,"23","0"
24,1,0,4.54723,0.0549771,"24","0"
25,1,0,4.45805,0.0560769,"25","0"
26,1,0,4.37393,0.0571556,"26","0"
27,1,0,4.29439,0.0582143,"27","0"
28,1,0,4.21904,0.059254,"28","0"
29,1,0,4.14753,0.0602758,"29","0"
30,1,0,4.07953,0.0612806,"30","0"
31,1,0,4.01477,0.0622691,"31","0"
32,1,0,3.953,0.0632422,"32","0"
33,1,0,3.89399,0.0642006,"33","0"
34,1,0,3.83755,0.0651448,"34","0"
35,1,0,3.7835,0.0660756,"35","0"
36,1,0,3.73167,0.0669934,"36","0"
37,1,0,3.68191,0.0678989,"37","0"
38,1,0,3.63409,0.0687924,"38","0"
39,1,0,3.58808,0.0696744,"39","0"
40,1,0,3.54378,0.0705454,"40","0"
41,1,0,3.50108,0.0714058,"41","0"
42,1,0,3.4701,0.0720415,"42","0"
43,1,0,3.42998,0.0728843,"43","0"
44,1,0,3.39122,0.0737175,"44","0"
45,1,0,3.35374,0.0745413,"45","0"
46,1,0,3.31748,0.0753562,"46","0"
47,1,0,3.28237,0.0761623,"47","0"
48,1,0,3.24836,0.0769599,"48","0"
49,1,0,3.21538,0.0777494,"49","0"
50,1,0,3.18338,0.0785309,"50","0"
51,1,0,3.15232,0.0793048,"51","0"
52,1,0,3.12215,0.0800711,"52","0"
53,1,0,3.09284,0.0808302,"53","0"
54,1,0,3.06433,0.0815822,"54","0"
55,1,0,3.03659,0.0823274,"55","0"
