GroupID,Length,BaseStart,BaseEnd,FitOrder,FitA,FitB,FitC,StartScaleFactor,SlopeScaleFactor,InterceptScaleFactor,BitWidthStart,BitBitWidthIntercept,DeltaEncodings
0,4.850731e-05,8.864279e-06,5.737158e-05,0,0.000000e+00,7.502314e+01,3.270207e-03,2.249866e-07,2.182985e-03,1.278793e-05,8,8,"-39:55762:-159:0:0;0:0:0:0:0;216:-9773:96:0:0"
1,9.770405e-04,1.954079e-03,2.931119e-03,1,0.000000e+00,1.016831e+01,2.433529e-02,1.218467e-04,1.773543e-04,1.170604e-04,13,12,"8183:-54513:4062:0:0;0:0:0:0:0;-8:11022:-33:0:0"
2,1.954080e-03,4.885197e-03,6.839277e-03,0,0.000000e+00,6.278837e+00,3.975722e-02,1.532611e-05,1.151032e-04,4.292136e-05,8,8,"-127:11064:-157:0:0;128:-5319:98:0:0;0:0:0:0:0"
3,3.908159e-03,1.660967e-02,2.051783e-02,1,0.000000e+00,3.674863e+00,6.784025e-02,1.147209e-04,1.662162e-04,1.519630e-04,9,9,"443:-10687:420:0:0;0:0:0:0:0;-34:1962:-36:0:0;-68:5696:-91:0:0"
4,7.816318e-03,2.833415e-02,3.615046e-02,0,0.000000e+00,2.704938e+00,9.234797e-02,6.130444e-05,1.564162e-04,8.376278e-05,8,8,"-128:2401:-135:0:0;0:0:0:0:0;127:-1694:120:0:0"
5,1.563263e-02,1.182218e-01,1.338544e-01,0,0.000000e+00,1.387194e+00,1.801791e-01,1.069682e-04,1.454866e-04,1.474680e-04,10,9,"-292:1408:-157:0:0;585:-1701:265:0:0;438:-1362:204:0:0;146:-527:71:0:0;-438:2394:-246:0:0;-146:631:-76:0:0;292:-975:139:0:0;0:0:0:0:0"
6,3.028823e-02,4.318515e-01,4.621397e-01,0,0.000000e+00,7.416275e-01,3.370731e-01,1.185449e-04,1.943522e-04,8.816216e-05,9,8,"-256:134:-130:0:0;0:0:0:0:0;256:-121:125:0:0"
7,3.126527e-02,2.276502e-01,2.589155e-01,0,0.000000e+00,9.979298e-01,2.504579e-01,1.223689e-04,1.227156e-04,1.227155e-04,9,8,"0:0:0:0:0;256:-464:124:0:0;-256:559:-131:0:0"
8,6.106497e-02,6.756229e-01,7.366878e-01,0,0.000000e+00,5.887077e-01,4.246114e-01,1.789887e-04,1.523792e-04,1.063508e-04,11,10,"-1024:610:-544:0:0;-682:376:-354:0:0;0:0:0:0:0;341:-154:166:0:0;1024:-413:479:0:0;-341:175:-173:0:0;682:-291:325:0:0"
9,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,8,8,"0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
