Order,a,b,c,RangeStart,RangeEnd
1,0,227.189,0.00106801,3.3241e-06,6.64821e-06
1,0,80.0952,0.00305872,2.87166e-05,5.07849e-05
1,0,41.9344,0.00589072,0.000112835,0.000174885
1,0,28.0959,0.00884726,0.000270638,0.00036639
1,0,19.7968,0.0125632,0.000549585,0.00073278
1,0,13.9985,0.017767,0.00109917,0.00146556
1,0,9.89842,0.0251264,0.00219834,0.00293112
1,0,7.8841,0.0316436,0.0036639,0.00439668
1,0,6.99924,0.0355341,0.00439668,0.00586224
1,0,6.16645,0.040416,0.00586224,0.0073278
1,0,5.5749,0.0447508,0.0073278,0.00879336
1,0,5.12665,0.0486924,0.00879335,0.0102589
1,0,4.77177,0.0523331,0.0102589,0.0117245
1,0,4.48174,0.0557335,0.0117245,0.01319
1,0,4.23894,0.0589361,0.01319,0.0146556
1,0,4.03178,0.0619722,0.0146556,0.0161212
1,0,3.85232,0.0648653,0.0161212,0.0175867
1,0,3.69488,0.0676341,0.0175867,0.0190523
1,0,3.5553,0.0702935,0.0190523,0.0205178
1,0,3.43043,0.0728554,0.0205178,0.0219834
1,0,3.31787,0.07533,0.0219834,0.023449
1,0,3.2157,0.0777256,0.0234489,0.0249145
1,0,3.12244,0.0800493,0.0249145,0.0263801
1,0,3.03684,0.0823073,0.0263801,0.0278456
1,0,2.95792,0.0845049,0.0278456,0.0293112
1,0,2.88485,0.0866466,0.0293112,0.0307767
1,0,2.81695,0.0887366,0.0307767,0.0322423
1,0,2.75362,0.0907784,0.0322423,0.0337079
1,0,2.69438,0.0927752,0.0337079,0.0351734
1,0,2.63881,0.0947299,0.0351734,0.036639
1,0,2.58654,0.096645,0.036639,0.0381045
1,0,2.53726,0.0985228,0.0381045,0.0395701
1,0,2.49069,0.100365,0.0395701,0.0410357
1,0,2.4466,0.102175,0.0410357,0.0425012
1,0,2.40477,0.103953,0.0425012,0.0439668
1,0,2.36501,0.105701,0.0439668,0.0454323
1,0,2.32716,0.10742,0.0454323,0.0468979
1,0,2.29108,0.109113,0.0468979,0.0483635
1,0,2.25662,0.110779,0.0483635,0.049829
1,0,2.22367,0.112421,0.049829,0.0512946
1,0,2.19212,0.114039,0.0512946,0.0527601
1,0,2.16188,0.115635,0.0527601,0.0542257
1,0,2.13286,0.117208,0.0542257,0.0556913
1,0,2.10498,0.118761,0.0556913,0.0571568
1,0,2.07816,0.120294,0.0571568,0.0586224
1,0,2.05234,0.121808,0.0586224,0.0600879
1,0,2.02746,0.123303,0.0600879,0.0615535
1,0,2.00346,0.12478,0.0615535,0.0630191
