GroupID,Length,BaseStart,BaseEnd,FitMethod,FitA,FitB,FitC,BitWidth,ScaleFactor,DeltaEncodings
0,4.8852e-10,1.000000e+00,1.000000e+00,L,0.000000e+00,4.199741e-01,3.416200e-01,1,1.000000e+00,""
1,2.442599e-03,9.975574e-01,1.000000e+00,L,0.000000e+00,4.207562e-01,3.408379e-01,1,1.000000e+00,""
2,8.304837e-03,6.468002e-01,6.551050e-01,L,0.000000e+00,6.724602e-01,1.345646e-01,2,3.072789e-01,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
3,8.793357e-03,5.676600e-01,5.764533e-01,L,0.000000e+00,7.328464e-01,9.763110e-02,2,4.211041e-01,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
4,9.281877e-03,5.119687e-01,5.212506e-01,L,0.000000e+00,7.742980e-01,7.506133e-02,2,4.640938e-02,"0:0.000000e+00:0:0;0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
5,9.770397e-03,4.728872e-01,4.826575e-01,L,0.000000e+00,8.041970e-01,6.023470e-02,2,2.931119e-02,"0:0.000000e+00:0:0;0:0.000000e+00:1:1;0:0.000000e+00:1:1"
6,1.025892e-02,4.421104e-01,4.523693e-01,L,0.000000e+00,8.256827e-01,5.034929e-02,2,2.051783e-02,"0:0.000000e+00:1:1;0:0.000000e+00:1:1"
7,1.074744e-02,4.098681e-01,4.206155e-01,L,0.000000e+00,8.473994e-01,4.103872e-02,2,2.149487e-02,"0:0.000000e+00:0:1;0:0.000000e+00:1:1"
8,1.123596e-02,3.873962e-01,3.986321e-01,L,0.000000e+00,8.619589e-01,3.519376e-02,2,1.123596e-02,"0:0.000000e+00:1:1"
9,1.172448e-02,3.639472e-01,3.756717e-01,L,0.000000e+00,8.766161e-01,2.964412e-02,2,1.172447e-02,"0:0.000000e+00:1:1"
10,1.221300e-02,3.517342e-01,3.639472e-01,L,0.000000e+00,8.839800e-01,2.698663e-02,1,1.000000e+00,""
11,1.270152e-02,3.390327e-01,3.517342e-01,L,0.000000e+00,8.914625e-01,2.437863e-02,1,1.000000e+00,""
12,1.319004e-02,3.258427e-01,3.390327e-01,L,0.000000e+00,8.990339e-01,2.183668e-02,1,1.000000e+00,""
13,1.367855e-02,3.121641e-01,3.258427e-01,L,0.000000e+00,9.066621e-01,1.937721e-02,1,1.000000e+00,""
14,1.416707e-02,2.979971e-01,3.121641e-01,L,0.000000e+00,9.143120e-01,1.701628e-02,1,1.000000e+00,""
15,1.465559e-02,2.833415e-01,2.979971e-01,L,0.000000e+00,9.219458e-01,1.476939e-02,1,1.000000e+00,""
16,1.514411e-02,2.681974e-01,2.833415e-01,L,0.000000e+00,9.295225e-01,1.265120e-02,1,1.000000e+00,""
17,1.612115e-02,2.520762e-01,2.681974e-01,L,0.000000e+00,9.371704e-01,1.063099e-02,1,1.000000e+00,""
18,1.709819e-02,2.349780e-01,2.520762e-01,L,0.000000e+00,9.448690e-01,8.723251e-03,1,1.000000e+00,""
19,1.856375e-02,2.164143e-01,2.349780e-01,L,0.000000e+00,9.526776e-01,6.924756e-03,1,1.000000e+00,""
20,2.002931e-02,1.963850e-01,2.164143e-01,L,0.000000e+00,9.605061e-01,5.269700e-03,1,1.000000e+00,""
21,2.198339e-02,1.744016e-01,1.963850e-01,L,0.000000e+00,9.683138e-01,3.779188e-03,1,1.000000e+00,""
22,2.491451e-02,1.494871e-01,1.744016e-01,L,0.000000e+00,9.761275e-01,2.464989e-03,1,1.000000e+00,""
23,2.979971e-02,1.196873e-01,1.494871e-01,L,0.000000e+00,9.839914e-01,1.347775e-03,1,1.000000e+00,""
24,3.908158e-02,8.060576e-02,1.196873e-01,L,0.000000e+00,9.927190e-01,4.127673e-04,1,1.000000e+00,""
25,8.060577e-02,0.000000e+00,8.060577e-02,L,0.000000e+00,9.998647e-01,0.000000e+00,1,1.000000e+00,""
