ParamsID,Order,a,b,c,IntervalIndices,Offsets
0,1,0,0.998699,0,"0","0"
1,1,0,0.993836,0.000304076,"1","0"
2,1,0,0.980388,0.0018047,"2","0"
3,1,0,0.970931,0.00328311,"3","0"
4,1,0,0.959742,0.00538207,"4","0"
5,1,0,0.946904,0.00819173,"5","0"
6,1,0,0.932511,0.0117919,"6","0"
7,1,0,0.916664,0.016251,"7","0"
8,1,0,0.899473,0.0216258,"8","0"
9,1,0,0.881054,0.0279603,"9","0"
10,1,0,0.861528,0.0352863,"10","0"
11,1,0,0.846258,0.0414928,"11","0"
12,1,0,0.825086,0.0505961,"12","0"
13,1,0,0.803147,0.0607148,"13","0"
14,1,0,0.780565,0.0718359,"14","0"
15,1,0,0.757462,0.083936,"15","0"
16,1,0,0.733954,0.0969823,"16","0"
17,1,0,0.710157,0.110934,"17","0"
18,1,0,0.686177,0.125741,"18","0"
19,1,0,0.65009,0.149434,"19","0"
20,1,0,0.626091,0.166129,"20","0"
21,1,0,0.602241,0.183466,"21","0"
22,1,0,0.578617,0.201377,"22","0"
23,1,0,0.555291,0.219791,"23","0"
24,1,0,0.532328,0.238636,"24","0"
25,1,0,0.509783,0.257843,"25","0"
26,1,0,0.487707,0.277341,"26","0"
27,1,0,0.466142,0.297061,"27","0"
28,1,0,0.445124,0.316938,"28","0"
29,1,0,0.430073,0.331526,"29","0"
30,1,0,0.420287,0.341307,"30","0"
31,1,0,0.420131,0.341464,"31","0"
32,1,0,0.419974,0.34162,"32","0"
