Order,a,b,c,RangeStart,RangeEnd
1,0,0.99998,0,0,0.00781632
1,0,0.99969,3.58063e-06,0.0156326,0.0195408
1,0,0.999354,1.08583e-05,0.0234489,0.0273571
1,0,0.998896,2.43328e-05,0.0312653,0.0351734
1,0,0.998317,4.59009e-05,0.0390816,0.0429897
1,0,0.997982,6.03107e-05,0.0429897,0.0468979
1,0,0.997616,7.74515e-05,0.0468979,0.0508061
1,0,0.99722,9.75579e-05,0.0508061,0.0547142
1,0,0.996794,0.000120864,0.0547142,0.0586224
1,0,0.996338,0.000147602,0.0586224,0.0625305
1,0,0.995852,0.000178005,0.0625305,0.0664387
1,0,0.995469,0.000203481,0.0664387,0.0683928
1,0,0.99493,0.000240861,0.0703468,0.0723009
1,0,0.994361,0.00028254,0.074255,0.0762091
1,0,0.993763,0.000328746,0.0781632,0.0801172
1,0,0.993134,0.000379707,0.0820713,0.0840254
1,0,0.992476,0.000435649,0.0859795,0.0879336
1,0,0.991789,0.000496798,0.0898876,0.0918417
1,0,0.991071,0.000563377,0.0937958,0.0957499
1,0,0.990325,0.000635609,0.097704,0.099658
1,0,0.989549,0.000713715,0.101612,0.103566
1,0,0.988743,0.000797915,0.10552,0.107474
1,0,0.987909,0.000888427,0.109428,0.111383
1,0,0.987045,0.000985469,0.113337,0.115291
1,0,0.986153,0.00108925,0.117245,0.119199
1,0,0.985231,0.0012,0.121153,0.123107
1,0,0.984281,0.00131791,0.125061,0.127015
1,0,0.983302,0.00144321,0.128969,0.130923
1,0,0.982295,0.00157609,0.132877,0.134831
1,0,0.981259,0.00171677,0.136786,0.13874
1,0,0.980195,0.00186545,0.140694,0.142648
1,0,0.979102,0.00202233,0.144602,0.146556
1,0,0.978546,0.00210392,0.146556,0.14851
1,0,0.977982,0.00218762,0.14851,0.150464
1,0,0.977411,0.00227348,0.150464,0.152418
1,0,0.976834,0.00236151,0.152418,0.154372
1,0,0.976249,0.00245175,0.154372,0.156326
1,0,0.975658,0.00254421,0.156326,0.15828
1,0,0.97506,0.00263891,0.15828,0.160234
1,0,0.974454,0.0027359,0.160234,0.162189
1,0,0.973842,0.00283517,0.162189,0.164143
1,0,0.973223,0.00293677,0.164143,0.166097
1,0,0.972597,0.00304072,0.166097,0.168051
1,0,0.971965,0.00314703,0.168051,0.170005
1,0,0.971325,0.00325573,0.170005,0.171959
1,0,0.970679,0.00336685,0.171959,0.173913
1,0,0.970026,0.00348041,0.173913,0.175867
1,0,0.969367,0.00359643,0.175867,0.177821
1,0,0.9687,0.00371493,0.177821,0.179775
1,0,0.968027,0.00383594,0.179775,0.181729
1,0,0.967347,0.00395949,0.181729,0.183683
1,0,0.966661,0.00408558,0.183683,0.185638
1,0,0.965968,0.00421425,0.185638,0.187592
1,0,0.965268,0.00434551,0.187592,0.189546
1,0,0.964561,0.0044794,0.189546,0.1915
1,0,0.963849,0.00461592,0.1915,0.193454
1,0,0.963129,0.00475511,0.193454,0.195408
1,0,0.962403,0.00489698,0.195408,0.197362
